,date,species,sowtype,repeated,IDtime,NOtime,density,number,rootDW,stemDW,leafDW
1,20231221,Corn,Monoculture,1,1,7,Low,180,0.1646,0.0251,0.0274
2,20231221,Corn,Monoculture,1,1,7,Low,180,0.2133,0.0205,0.0153
3,20231221,Corn,Monoculture,1,1,7,Low,180,0.2178,0.0245,0.0241
4,20231221,Corn,Monoculture,1,1,7,Low,180,0.1372,0.0235,0.022
5,20231221,Corn,Monoculture,1,1,7,Low,180,0.1704,0.0296,0.0433
6,20231221,Corn,Monoculture,1,1,7,Low,180,0.2724,0.0237,0.0194
7,20231221,Corn,Monoculture,1,1,7,Low,180,0.2256,0.0254,0.0288
8,20231221,Corn,Monoculture,1,1,7,Low,180,0.2456,0.0185,0.015
9,20231221,Corn,Monoculture,1,1,7,Low,180,0.3146,0.0248,0.0304
10,20231221,Corn,Monoculture,1,1,7,Low,180,0.2075,0.0197,0.0306
11,20231221,Corn,Monoculture,2,1,7,Low,180,0.2408,0.025,0.0247
12,20231221,Corn,Monoculture,2,1,7,Low,180,0.2017,0.0212,0.0175
13,20231221,Corn,Monoculture,2,1,7,Low,180,0.1314,0.0213,0.0185
14,20231221,Corn,Monoculture,2,1,7,Low,180,0.2041,0.023,0.0285
15,20231221,Corn,Monoculture,2,1,7,Low,180,0.2709,0.0287,0.0296
16,20231221,Corn,Monoculture,2,1,7,Low,180,0.1875,0.0167,0.0098
17,20231221,Corn,Monoculture,2,1,7,Low,180,0.1708,0.0284,0.03
18,20231221,Corn,Monoculture,2,1,7,Low,180,0.2232,0.0238,0.0242
19,20231221,Corn,Monoculture,2,1,7,Low,180,0.1538,0.026,0.0232
20,20231221,Corn,Monoculture,2,1,7,Low,180,0.2225,0.0272,0.0279
21,20231221,Corn,Monoculture,3,1,7,Low,180,0.2195,0.0237,0.0231
22,20231221,Corn,Monoculture,3,1,7,Low,180,0.2676,0.0124,0.0133
23,20231221,Corn,Monoculture,3,1,7,Low,180,0.1884,0.0266,0.0171
24,20231221,Corn,Monoculture,3,1,7,Low,180,0.2488,0.0208,0.0118
25,20231221,Corn,Monoculture,3,1,7,Low,180,0.1764,0.0271,0.0255
26,20231221,Corn,Monoculture,3,1,7,Low,180,0.2762,0.0221,0.0153
27,20231221,Corn,Monoculture,3,1,7,Low,180,0.2006,0.0321,0.0273
28,20231221,Corn,Monoculture,3,1,7,Low,180,0.2313,0.0311,0.0322
29,20231221,Corn,Monoculture,3,1,7,Low,180,0.1402,0.0242,0.026
30,20231221,Corn,Monoculture,3,1,7,Low,180,0.2292,0.0236,0.0122
31,20231221,Corn,Monoculture,1,1,7,Middle,360,0.2617,0.0276,0.0182
32,20231221,Corn,Monoculture,1,1,7,Middle,360,0.2609,0.0274,0.0273
33,20231221,Corn,Monoculture,1,1,7,Middle,360,0.2329,0.0205,0.0151
34,20231221,Corn,Monoculture,1,1,7,Middle,360,0.2661,0.0239,0.0183
35,20231221,Corn,Monoculture,1,1,7,Middle,360,0.2539,0.023,0.0148
36,20231221,Corn,Monoculture,1,1,7,Middle,360,0.3191,0.0223,0.0095
37,20231221,Corn,Monoculture,1,1,7,Middle,360,0.2508,0.019,0.018
38,20231221,Corn,Monoculture,1,1,7,Middle,360,0.1666,0.0206,0.0217
39,20231221,Corn,Monoculture,1,1,7,Middle,360,0.2106,0.0273,0.021
40,20231221,Corn,Monoculture,1,1,7,Middle,360,0.2296,0.0245,0.0226
41,20231221,Corn,Monoculture,2,1,7,Middle,360,0.1843,0.026,0.0267
42,20231221,Corn,Monoculture,2,1,7,Middle,360,0.1979,0.0272,0.0342
43,20231221,Corn,Monoculture,2,1,7,Middle,360,0.2203,0.0256,0.0251
44,20231221,Corn,Monoculture,2,1,7,Middle,360,0.2078,0.0253,0.0345
45,20231221,Corn,Monoculture,2,1,7,Middle,360,0.2489,0.0284,0.026
46,20231221,Corn,Monoculture,2,1,7,Middle,360,0.2065,0.0264,0.0216
47,20231221,Corn,Monoculture,2,1,7,Middle,360,0.1741,0.0292,0.0243
48,20231221,Corn,Monoculture,2,1,7,Middle,360,0.1866,0.0329,0.0382
49,20231221,Corn,Monoculture,2,1,7,Middle,360,0.2486,0.0289,0.0316
50,20231221,Corn,Monoculture,2,1,7,Middle,360,0.024,0.0237,0.0243
51,20231221,Corn,Monoculture,3,1,7,Middle,360,0.2366,0.0176,0.0226
52,20231221,Corn,Monoculture,3,1,7,Middle,360,0.2043,0.0266,0.0166
53,20231221,Corn,Monoculture,3,1,7,Middle,360,0.2908,0.0132,0.0095
54,20231221,Corn,Monoculture,3,1,7,Middle,360,0.1627,0.0206,0.0229
55,20231221,Corn,Monoculture,3,1,7,Middle,360,0.205,0.0276,0.0202
56,20231221,Corn,Monoculture,3,1,7,Middle,360,0.1612,0.0233,0.0218
57,20231221,Corn,Monoculture,3,1,7,Middle,360,0.3027,0.0234,0.0169
58,20231221,Corn,Monoculture,3,1,7,Middle,360,0.1803,0.0254,0.0192
59,20231221,Corn,Monoculture,3,1,7,Middle,360,0.2226,0.0308,0.02
60,20231221,Corn,Monoculture,3,1,7,Middle,360,0.2605,0.0309,0.0219
61,20231221,Corn,Monoculture,1,1,7,High,810,0.0241,0.0379,0.0455
62,20231221,Corn,Monoculture,1,1,7,High,810,0.1837,0.0237,0.0178
63,20231221,Corn,Monoculture,1,1,7,High,810,0.216,0.0273,0.0317
64,20231221,Corn,Monoculture,1,1,7,High,810,0.1941,0.0273,0.0276
65,20231221,Corn,Monoculture,1,1,7,High,810,0.1742,0.0121,0.0115
66,20231221,Corn,Monoculture,1,1,7,High,810,0.1624,0.0353,0.0373
67,20231221,Corn,Monoculture,1,1,7,High,810,0.2183,0.0354,0.0417
68,20231221,Corn,Monoculture,1,1,7,High,810,0.1923,0.0365,0.0289
69,20231221,Corn,Monoculture,1,1,7,High,810,0.2211,0.0347,0.0301
70,20231221,Corn,Monoculture,1,1,7,High,810,0.1636,0.025,0.0269
71,20231221,Corn,Monoculture,2,1,7,High,810,0.161,0.0313,0.0337
72,20231221,Corn,Monoculture,2,1,7,High,810,0.2519,0.0301,0.0234
73,20231221,Corn,Monoculture,2,1,7,High,810,0.0223,0.0227,0.0306
74,20231221,Corn,Monoculture,2,1,7,High,810,0.2109,0.0282,0.0228
75,20231221,Corn,Monoculture,2,1,7,High,810,0.1347,0.0325,0.0241
76,20231221,Corn,Monoculture,2,1,7,High,810,0.1935,0.0323,0.0228
77,20231221,Corn,Monoculture,2,1,7,High,810,0.2229,0.0201,0.0192
78,20231221,Corn,Monoculture,2,1,7,High,810,0.1932,0.0175,0.0153
79,20231221,Corn,Monoculture,2,1,7,High,810,0.2399,0.0292,0.0201
80,20231221,Corn,Monoculture,2,1,7,High,810,0.1974,0.0139,0.0073
81,20231221,Corn,Monoculture,3,1,7,High,810,0.1962,0.0328,0.0252
82,20231221,Corn,Monoculture,3,1,7,High,810,0.21,0.0365,0.0231
83,20231221,Corn,Monoculture,3,1,7,High,810,0.2506,0.028,0.0194
84,20231221,Corn,Monoculture,3,1,7,High,810,0.0807,0.0205,0.0159
85,20231221,Corn,Monoculture,3,1,7,High,810,0.1675,0.032,0.0302
86,20231221,Corn,Monoculture,3,1,7,High,810,0.2498,0.0265,0.0181
87,20231221,Corn,Monoculture,3,1,7,High,810,0.1949,0.0314,0.0188
88,20231221,Corn,Monoculture,3,1,7,High,810,0.2217,0.0274,0.0228
